scenario,limit_mode,frequency_multiplier,severity_multiplier,design,expected_retention_per_claim,expected_retention_annual_per_vehicle,retention_share_of_losses,mc_retention_per_claim,mc_retention_annual_per_vehicle,mc_retention_share,expected_below_deductible,mc_below_deductible,expected_at_limit,mc_at_limit
Sensitivity,Limited,0.9,1.0,A,792.5479270990403,73.63732787245752,0.46899989321835855,792.5930146505001,73.64147509576462,0.46890357732150884,0.41183640070522204,0.4117908140524917,4.113028205962841e-121,0.0
Sensitivity,Limited,0.9,1.0,B,792.5479270990403,73.63732787245752,0.46899989321835855,792.7219907659357,73.65345853646778,0.4689798804945105,0.09862267526693197,0.09856075568721454,2.51637685423477e-195,0.0
Sensitivity,Unlimited,0.9,1.0,A,792.5479270990403,73.63732787245752,0.46899989321835855,792.5930146505001,73.64147509576462,0.46890357732150884,0.41183640070522204,0.4117908140524917,0.0,0.0
Sensitivity,Unlimited,0.9,1.0,B,792.5479270990403,73.63732787245752,0.46899989321835855,792.7219907659357,73.65345853646778,0.4689798804945105,0.09862267526693197,0.09856075568721454,0.0,0.0
Sensitivity,Limited,0.9,1.05,A,802.3358286817999,74.54674280294782,0.4521828602357388,802.381308501421,74.5509259545644,0.45208990524076587,0.3945164927175068,0.3944803007987378,2.351123710677597e-115,0.0
Sensitivity,Limited,0.9,1.05,B,825.1880458566653,76.66999131723973,0.465061982113963,825.3703316428428,76.68688418767032,0.4650427310150776,0.09328878033482191,0.09323374184707842,4.945157848362812e-186,0.0
Sensitivity,Unlimited,0.9,1.05,A,802.3358286817999,74.54674280294782,0.4521828602357388,802.381308501421,74.5509259545644,0.45208990524076587,0.3945164927175068,0.3944803007987378,0.0,0.0
Sensitivity,Unlimited,0.9,1.05,B,825.1880458566653,76.66999131723973,0.465061982113963,825.3703316428428,76.68688418767032,0.4650427310150776,0.09328878033482191,0.09323374184707842,0.0,0.0
Sensitivity,Limited,0.9,1.1,A,811.3278433323724,75.38221017144099,0.4364664886241157,811.374936703465,75.38654276548651,0.43637735811077893,0.37842096469908454,0.37840136028795907,4.0252718715688735e-110,0.0
Sensitivity,Limited,0.9,1.1,B,857.7907395298497,79.69917751715211,0.4614619295192853,857.98136274478,79.71684330962837,0.4614434381027561,0.08845397376282428,0.08841047298773555,1.3883820264743596e-177,0.0
Sensitivity,Unlimited,0.9,1.1,A,811.3278433323724,75.38221017144099,0.4364664886241157,811.374936703465,75.38654276548651,0.43637735811077893,0.37842096469908454,0.37840136028795907,0.0,0.0
